 ,Area,Min,Max,X,Y,Major,Minor,Angle,IntDen,RawIntDen,Ch,Slice
42,0.201,3794,14320,1.773,8.277,0.553,0.463,106.245,1666.378,4165946.000,1,2
43,0.067,209,715,1.302,0.255,0.340,0.250,177.728,29.155,72887.000,2,2
44,0.144,204,1083,1.650,0.842,0.438,0.419,179.929,82.154,205384.000,2,2
45,0.136,208,1057,4.599,1.123,0.422,0.412,95.758,76.395,190988.000,2,2
46,0.129,210,921,0.782,2.935,0.434,0.379,14.052,67.722,169304.000,2,2
47,0.133,205,1017,6.561,3.111,0.422,0.400,27.136,73.212,183030.000,2,2
48,0.132,204,1004,5.370,4.025,0.431,0.390,161.495,71.949,179872.000,2,2
49,0.141,165,1102,3.037,4.346,0.428,0.419,137.839,79.984,199961.000,2,2
50,0.142,225,1070,2.943,6.537,0.447,0.403,112.946,79.223,198057.000,2,2
51,0.136,230,1004,4.407,7.692,0.417,0.414,39.652,73.398,183494.000,2,2
52,0.135,190,968,1.700,8.218,0.423,0.406,33.972,71.430,178574.000,2,2
53,0.042,587,1620,1.339,0.244,0.258,0.207,2.627,46.174,115434.000,3,2
54,0.107,553,3087,1.697,0.846,0.385,0.354,75.524,167.719,419297.000,3,2
55,0.104,486,3013,4.642,1.125,0.373,0.354,86.242,157.028,392569.000,3,2
56,0.110,477,2968,0.824,2.921,0.378,0.372,109.316,168.312,420781.000,3,2
57,0.096,442,2587,6.599,3.121,0.376,0.324,76.960,132.936,332341.000,3,2
58,0.102,506,2776,5.414,4.041,0.383,0.338,105.326,148.034,370085.000,3,2
59,0.113,519,3263,3.081,4.351,0.399,0.362,79.033,183.806,459515.000,3,2
60,0.101,545,2678,2.976,6.541,0.373,0.344,81.245,147.780,369449.000,3,2
61,0.092,632,2518,4.438,7.696,0.354,0.331,89.280,129.459,323647.000,3,2
62,0.088,614,2307,1.730,8.206,0.339,0.332,148.053,116.649,291622.000,3,2
63,0.091,4030,13330,2.469,0.210,0.411,0.281,172.771,755.514,1888786.000,1,3
64,0.131,4500,13581,1.377,0.308,0.442,0.377,155.643,1137.362,2843406.000,1,3
